,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
63,Akola,Residential,20120100,2012,10,9.0,131.0,8.0,,0.0,0.0,0.0,,8.0,104.6,6.0,,0.40000000000000036,0.0,1.5999999999999943,,12.0,156.798,9.2,,1.0,1.5999999999999996,0.1999999999999993,-2.469999999999999,
64,Akola,Residential,20120110,2012,11,10.0,141.0,8.0,,0.0,1.0,10.0,,8.8,109.8,6.800000000000002,,0.8000000000000007,0.8000000000000016,5.200000000000003,,12.2,164.80200000000002,10.4,,1.0,0.1999999999999993,1.200000000000001,8.004000000000019,
65,Akola,Residential,20120120,2012,12,10.0,143.67,9.0,,1.0,0.0,2.6699999999999875,,8.6,124.2,7.0,,-0.20000000000000107,0.1999999999999984,14.400000000000006,,12.0,172.07,11.0,,1.0,-0.1999999999999993,0.5999999999999996,7.267999999999972,
66,Akola,Residential,20130010,2013,1,10.0,141.0,8.0,,-1.0,0.0,-2.6699999999999875,,9.0,135.0,8.0,,0.40000000000000036,1.0,10.799999999999997,,11.0,167.53333332,10.0,,-11.0,-1.0,-1.0,-4.536666679999996,
67,Akola,Residential,20130020,2013,2,9.0,140.0,8.0,,0.0,-1.0,-1.0,,8.0,128.6666667,7.0,,-1.0,-1.0,-6.3333332999999925,,10.5,158.0,9.0,,1.0,-0.5,-1.0,-9.533333319999997,
68,Akola,Residential,20130080,2013,8,8.0,125.6666667,7.0,,,,,,7.0,93.2,6.0,,,,,,9.0,132.7,8.0,,6.0,,,,
69,Akola,Residential,20130090,2013,9,8.0,119.0,6.0,,-1.0,0.0,-6.666666700000008,,7.0,109.8,6.0,,0.0,0.0,16.599999999999994,,8.0,138.26666668,7.0,,1.0,-1.0,-1.0,5.566666679999997,
70,Akola,Residential,20130100,2013,10,7.0,115.0,6.0,,0.0,-1.0,-4.0,,6.0,104.6,6.0,,-1.0,0.0,-5.200000000000003,,8.0,139.13333332000002,7.4,,1.0,0.0,0.40000000000000036,0.8666666400000338,
71,Akola,Residential,20130110,2013,11,7.0,142.33333330000005,6.0,,0.0,0.0,27.333333300000017,,7.0,120.1,6.0,,1.0,0.0,15.5,,8.0,144.0,6.300000000000002,,1.0,0.0,-1.0999999999999988,4.86666667999998,
72,Akola,Residential,20130120,2013,12,8.0,128.0,7.0,,1.0,1.0,-14.33333330000002,,8.0,122.7,6.7,,1.0,0.7000000000000002,2.6000000000000085,,8.0,152.43333332000003,7.300000000000002,,1.0,0.0,1.0,8.433333320000031,
73,Akola,Residential,20140010,2014,1,9.0,159.0,9.0,,2.0,1.0,31.0,,8.8,136.79999999999998,7.8,,0.8000000000000007,1.0999999999999996,14.09999999999998,,11.0,162.20000000000005,9.0,,-11.0,3.0,1.6999999999999984,9.766666680000014,
74,Akola,Residential,20140020,2014,2,10.0,165.0,8.5,,-0.5,1.0,6.0,,10.0,140.5,8.0,,1.1999999999999993,0.20000000000000018,3.700000000000017,,11.0,167.0,10.0,,1.0,0.0,1.0,4.7999999999999545,
