,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff,year_number_diff,NO2_Median_YOY_diff,SO2_Median_YOY_diff,RSPM_PM10_Median_YOY_diff,SPM_Median_YOY_diff,NO2_P10_YOY_diff,SO2_P10_YOY_diff,RSPM_PM10_P10_YOY_diff,SPM_P10_YOY_diff,NO2_P90_YOY_diff,SO2_P90_YOY_diff,RSPM_PM10_P90_YOY_diff,SPM_P90_YOY_diff
50,Akola,Residential,20140020,2014,2,10.0,165.0,8.5,,-0.5,1.0,6.0,,10.0,140.5,8.0,,1.1999999999999993,0.20000000000000018,3.700000000000017,,11.0,167.0,10.0,,1.0,0.0,1.0,4.7999999999999545,,1.0,1.0,0.5,25.0,,2.0,1.0,11.833333299999993,,0.5,1.0,9.0,
51,Akola,Residential,20150020,2015,2,8.0,124.5,7.0,,0.0,0.0,-17.0,,7.0,115.0,6.0,,0.0,0.0,2.0,,8.5,149.0,8.0,,1.0,-0.5,0.0,1.0,,1.0,-2.0,-1.5,-40.5,,-3.0,-2.0,-25.5,,-2.5,-2.0,-18.0,
52,Akola,Residential,20110030,2011,3,9.0,127.0,7.5,,-0.5,0.0,-0.5,,8.0,122.0,6.0,,0.0,-1.0,-2.0,,10.0,132.0,9.0,,1.0,0.0,0.0,1.0,,-4.0,,,,,,,,,,,,
53,Akola,Residential,20120030,2012,3,10.0,140.0,8.0,,0.5,0.5,5.0,,8.6,127.4,6.800000000000002,,1.0999999999999996,0.8000000000000016,13.400000000000006,,12.0,177.39800000000002,11.0,,1.0,0.0,1.0,6.063000000000073,,1.0,1.0,0.5,13.0,,0.5999999999999996,0.8000000000000016,5.400000000000006,,2.0,2.0,45.398000000000025,
54,Akola,Residential,20140030,2014,3,10.5,166.5,8.5,,0.0,0.5,1.5,,8.6,146.8,8.0,,-1.4000000000000004,0.0,6.300000000000011,,11.7,175.0,9.0,,1.0,0.6999999999999993,-1.0,8.0,,2.0,,,,,,,,,,,,
55,Akola,Residential,20150030,2015,3,8.0,120.0,7.0,,0.0,0.0,-4.5,,7.0,114.6,6.0,,0.0,0.0,-0.4000000000000057,,9.0,149.4,8.0,,1.0,0.5,0.0,0.4000000000000057,,1.0,-2.5,-1.5,-46.5,,-1.5999999999999996,-2.0,-32.20000000000002,,-2.6999999999999993,-1.0,-25.599999999999994,
56,Akola,Residential,20110040,2011,4,10.0,130.0,8.0,,0.5,1.0,3.0,,8.3,116.7,7.0,,0.3000000000000007,1.0,-5.299999999999997,,10.7,131.0,8.700000000000001,,1.0,0.6999999999999993,-0.29999999999999893,-1.0,,-4.0,,,,,,,,,,,,
57,Akola,Residential,20120040,2012,4,9.0,148.67,8.0,,0.0,-1.0,8.669999999999987,,9.0,121.0,7.0,,0.40000000000000036,0.1999999999999984,-6.400000000000006,,11.5,173.83,9.5,,1.0,-0.5,-1.5,-3.568000000000012,,1.0,-1.0,0.0,18.669999999999987,,0.6999999999999993,0.0,4.299999999999997,,0.8000000000000007,0.7999999999999989,42.83000000000001,
58,Akola,Residential,20140040,2014,4,11.0,170.0,10.0,,1.5,0.5,3.5,,8.6,151.6,7.6,,0.0,-0.40000000000000036,4.799999999999983,,12.0,179.39999999999995,11.0,,1.0,0.3000000000000007,2.0,4.399999999999949,,2.0,,,,,,,,,,,,
59,Akola,Residential,20150040,2015,4,6.5,111.5,6.0,,-1.0,-1.5,-8.5,,6.0,109.1,5.0,,-1.0,-1.0,-5.5,,7.0,114.3,6.3,,1.0,-2.0,-1.7000000000000002,-35.10000000000001,,1.0,-4.5,-4.0,-58.5,,-2.5999999999999996,-2.5999999999999996,-42.5,,-5.0,-4.7,-65.09999999999995,
60,Akola,Residential,20110050,2011,5,10.0,133.0,8.5,,0.5,0.0,3.0,,9.0,99.5,7.0,,0.6999999999999993,0.0,-17.200000000000003,,10.0,136.0,9.0,,1.0,-0.6999999999999993,0.29999999999999893,5.0,,-4.0,,,,,,,,,,,,
