,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
363,Aurangabad,Residential,6,2008,27.480000000000004,91.4,11.440000000000001,318.8
364,Aurangabad,Residential,6,2009,30.079999999999995,154.39999999999998,7.999999999999999,348.6
365,Aurangabad,Residential,6,2010,23.907166667,99.8,7.0,361.00000000000006
366,Aurangabad,Residential,6,2011,33.0,97.0,9.0,
367,Aurangabad,Residential,6,2012,33.199999999999996,91.39999999999999,9.599999999999998,
368,Aurangabad,Residential,6,2013,43.0,100.6,12.2,
369,Aurangabad,Residential,6,2014,44.0,110.5,12.5,
370,Aurangabad,Residential,6,2015,38.0,93.6,11.0,
371,Aurangabad,Residential,7,2005,34.0,,10.8,
372,Aurangabad,Residential,7,2006,28.700000000000003,68.0,9.3,223.0
373,Aurangabad,Residential,7,2007,28.519999999999996,121.60000000000001,6.040000000000001,358.20000000000005
374,Aurangabad,Residential,7,2008,23.6,131.0,10.2,419.5
375,Aurangabad,Residential,7,2009,31.679999999999996,109.5,9.68,399.0
376,Aurangabad,Residential,7,2010,24.0,100.70266666799998,6.5525,267.09333334999997
377,Aurangabad,Residential,7,2011,32.0,87.19999999999999,8.0,
378,Aurangabad,Residential,7,2012,39.900000000000006,94.2,11.3,
379,Aurangabad,Residential,7,2013,42.4,101.5,13.0,
380,Aurangabad,Residential,7,2014,44.5,109.0,12.5,
381,Aurangabad,Residential,7,2015,37.0,94.2,11.0,
382,Aurangabad,Residential,8,2005,33.3,,10.5,
383,Aurangabad,Residential,8,2006,20.1,105.4,5.24,266.20000000000005
384,Aurangabad,Residential,8,2007,23.400000000000002,103.60000000000001,6.88,362.40000000000003
385,Aurangabad,Residential,8,2008,22.259999999999998,87.30000000000004,8.59,339.4000000000001
386,Aurangabad,Residential,8,2009,25.490000000000002,94.00000000000001,6.27,283.1
387,Aurangabad,Residential,8,2010,22.4,106.4,7.2293333332,312.18599998
388,Aurangabad,Residential,8,2011,33.5,94.6,8.5,
389,Aurangabad,Residential,8,2012,40.6,89.60000000000001,12.0,
390,Aurangabad,Residential,8,2013,36.8,104.4,8.8,
391,Aurangabad,Residential,8,2014,47.400000000000006,106.6,14.799999999999997,
392,Aurangabad,Residential,8,2015,38.0,78.4,11.5,
393,Aurangabad,Residential,9,2005,22.7,,14.7,
394,Aurangabad,Residential,9,2006,21.8,45.60000000000001,5.35,172.10000000000002
395,Aurangabad,Residential,9,2007,23.9,87.99999999999999,6.1,335.19999999999993
396,Aurangabad,Residential,9,2008,17.799999999999997,105.50000000000004,7.72,286.40000000000003
397,Aurangabad,Residential,9,2009,25.15,128.0,6.7,344.0
398,Aurangabad,Residential,9,2010,25.4,103.2,7.4,321.0
399,Aurangabad,Residential,9,2011,38.2,98.79999999999998,9.399999999999999,
400,Aurangabad,Residential,9,2012,33.800000000000004,101.4,10.4,
401,Aurangabad,Residential,9,2013,42.0,102.0,12.0,
402,Aurangabad,Residential,9,2014,44.4,105.19999999999999,12.0,
403,Aurangabad,Residential,9,2015,39.0,118.4,12.0,
404,Aurangabad,Residential,10,2005,20.5,,12.2,
405,Aurangabad,Residential,10,2006,20.26,196.20000000000007,5.859999999999999,360.0000000000001
406,Aurangabad,Residential,10,2007,33.7,174.5,7.45,471.5
407,Aurangabad,Residential,10,2008,29.239999999999995,133.2,12.2,411.59999999999997
408,Aurangabad,Residential,10,2009,29.4,130.5,7.55,353.0
409,Aurangabad,Residential,10,2010,26.1,106.80000000000001,8.42425,384.70000000000005
410,Aurangabad,Residential,10,2011,67.80000000000001,127.40000000000002,18.8,
411,Aurangabad,Residential,10,2012,35.0,106.0,11.0,
412,Aurangabad,Residential,10,2013,36.7,114.20000000000002,10.0,
413,Aurangabad,Residential,10,2014,55.4,150.9,22.4,
414,Aurangabad,Residential,10,2015,43.7,144.10000000000002,15.700000000000001,
