City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Aurangabad,Residential,20100060,2010,6,1,-3.764166665,19.63583334,0.635833335
Aurangabad,Residential,20110060,2011,6,1,4.364166665,24,-7.5
Aurangabad,Residential,20120060,2012,6,1,5,29,0
Aurangabad,Residential,20130060,2013,6,1,5,34,0
Aurangabad,Residential,20140060,2014,6,1,4,38,-2
Aurangabad,Residential,20150060,2015,6,1,-1,37,-1
Aurangabad,Residential,20050070,2005,7,-10,,34,
Aurangabad,Residential,20060070,2006,7,1,-19,15,-2.2
Aurangabad,Residential,20070070,2007,7,1,7,22,1.95
Aurangabad,Residential,20080070,2008,7,1,-5.9,16.1,-3.5
Aurangabad,Residential,20090070,2009,7,1,7.7,23.8,0.4
Aurangabad,Residential,20100070,2010,7,1,-3.850833335,19.94916667,0.31333333
Aurangabad,Residential,20110070,2011,7,1,10.05083334,30,6
Aurangabad,Residential,20120070,2012,7,1,-3.5,26.5,-2.5
Aurangabad,Residential,20130070,2013,7,1,5.5,32,-2
Aurangabad,Residential,20140070,2014,7,1,4,36,-2
Aurangabad,Residential,20150070,2015,7,1,1,37,0
Aurangabad,Residential,20050080,2005,8,-10,,33.3,-0.7
Aurangabad,Residential,20060080,2006,8,1,-16.8,16.5,1.5
Aurangabad,Residential,20070080,2007,8,1,1.3,17.8,-4.2
Aurangabad,Residential,20080080,2008,8,1,-3.55,14.25,-1.85
Aurangabad,Residential,20090080,2009,8,1,8,22.25,-1.55
Aurangabad,Residential,20100080,2010,8,1,-5.25,17,-2.949166665
Aurangabad,Residential,20110080,2011,8,1,12.5,29.5,-0.5
Aurangabad,Residential,20120080,2012,8,1,0.5,30,3.5
Aurangabad,Residential,20130080,2013,8,1,2,32,0
Aurangabad,Residential,20140080,2014,8,1,0,32,-4
Aurangabad,Residential,20150080,2015,8,1,5,37,0
Aurangabad,Residential,20050090,2005,9,-10,,22.7,-10.6
Aurangabad,Residential,20060090,2006,9,1,-8.2,14.5,-2
Aurangabad,Residential,20070090,2007,9,1,4.9,19.4,1.6
Aurangabad,Residential,20080090,2008,9,1,-5.9,13.5,-0.75
Aurangabad,Residential,20090090,2009,9,1,7.5,21,-1.25
Aurangabad,Residential,20100090,2010,9,1,-4.655,16.345,-0.655
Aurangabad,Residential,20110090,2011,9,1,13.655,30,0.5
Aurangabad,Residential,20120090,2012,9,1,1,31,1
Aurangabad,Residential,20130090,2013,9,1,0.5,31.5,-0.5
Aurangabad,Residential,20140090,2014,9,1,6.5,38,6
Aurangabad,Residential,20150090,2015,9,1,0,38,1
Aurangabad,Residential,20050100,2005,10,-10,,20.5,-2.2
Aurangabad,Residential,20060100,2006,10,1,-4,16.5,2
Aurangabad,Residential,20070100,2007,10,1,7,23.5,4.1
Aurangabad,Residential,20080100,2008,10,1,-0.1,23.4,9.9
Aurangabad,Residential,20090100,2009,10,1,0.7,24.1,3.1
Aurangabad,Residential,20100100,2010,10,1,-3.133333335,20.96666667,4.621666665
Aurangabad,Residential,20110100,2011,10,1,13.03333333,34,4
Aurangabad,Residential,20120100,2012,10,1,-1,33,2
Aurangabad,Residential,20130100,2013,10,1,2.5,35.5,4
Aurangabad,Residential,20140100,2014,10,1,4,39.5,1.5
Aurangabad,Residential,20150100,2015,10,1,1,40.5,2.5
Aurangabad,Residential,20060110,2006,11,-9,,18.6,2.1
Aurangabad,Residential,20070110,2007,11,1,1.6,20.2,-3.3
Aurangabad,Residential,20080110,2008,11,1,10.8,31,7.6
Aurangabad,Residential,20090110,2009,11,1,-7.4,23.6,-0.5
Aurangabad,Residential,20100110,2010,11,1,-5.6,18,-2.966666665
Aurangabad,Residential,20110110,2011,11,1,15,33,-1
Aurangabad,Residential,20120110,2012,11,1,5.5,38.5,5.5
Aurangabad,Residential,20130110,2013,11,1,4.5,43,7.5
Aurangabad,Residential,20140110,2014,11,1,-6,37,-2.5
Aurangabad,Residential,20150110,2015,11,1,9,46,5.5
Aurangabad,Residential,20050120,2005,12,-10,,28.5,
Aurangabad,Residential,20060120,2006,12,1,-6.8,21.7,3.1
Aurangabad,Residential,20070120,2007,12,1,5.6,27.3,7.1
Aurangabad,Residential,20080120,2008,12,1,3.5,30.8,-0.2
Aurangabad,Residential,20090120,2009,12,1,-9.6,21.2,-2.4
Aurangabad,Residential,20100120,2010,12,1,8.8,30,12
Aurangabad,Residential,20110120,2011,12,1,11,41,8
Aurangabad,Residential,20120120,2012,12,1,0,41,2.5
Aurangabad,Residential,20130120,2013,12,1,7,48,5
Aurangabad,Residential,20140120,2014,12,1,6,54,17
Aurangabad,Residential,20150120,2015,12,1,1,55,9
Aurangabad,Sensitive Area,20060010,2006,1,,,14.3,-3.9
Aurangabad,Sensitive Area,20070010,2007,1,1,-0.5,13.8,1.3
Aurangabad,Sensitive Area,20080010,2008,1,1,3,16.8,-2.1
Aurangabad,Sensitive Area,20090010,2009,1,1,7.8,24.6,1.9
Aurangabad,Sensitive Area,20100010,2010,1,1,-3.6,21,-2.25
Aurangabad,Sensitive Area,20110010,2011,1,1,11,32,8
Aurangabad,Sensitive Area,20120010,2012,1,1,8,40,8
Aurangabad,Sensitive Area,20130010,2013,1,1,0,40,1.5
Aurangabad,Sensitive Area,20140010,2014,1,1,2.5,42.5,-3.5
Aurangabad,Sensitive Area,20150010,2015,1,1,10,52.5,14.5
Aurangabad,Sensitive Area,20060020,2006,2,-9,,16.7,2.4
Aurangabad,Sensitive Area,20070020,2007,2,1,-3.3,13.4,-0.4
